X,Y,Target
46.47481,-7.6406493,1
39.96405,-24.3601,1
48.37183,-6.1323276,1
6.1352286,-23.222233,1
-10.381947,19.704134,1
5.9084954,-9.58145,1
-23.709799,-14.971058,1
-26.577087,24.741762,0
-29.915348,11.860637,1
38.41595,-19.295258,1
46.420647,-6.977227,0
42.587143,-6.989767,1
-27.493021,24.192635,1
23.510868,36.50783,1
7.327806,-15.871128,1
-14.579664,12.958279,1
-9.455129,30.23243,1
-19.466936,-16.599783,1
38.369602,-23.01302,1
-15.948849,-33.438942,1
-8.69254,-41.39956,0
-10.654765,-24.850128,1
-11.437092,13.968506,1
-8.768741,-40.81502,1
5.674285,-8.974164,1
42.587143,-6.989767,1
-3.0807319,13.971678,0
38.369602,-23.01302,0
19.207771,4.4489803,1
16.497574,1.8417053,0
7.3614154,-5.8078933,1
1.7382271,-11.809519,1
-10.724146,-25.098677,1
-14.7799835,-30.18604,0
-15.563468,11.943106,1
-22.57251,-34.642376,1
6.6085467,-10.19506,0
7.3043175,-15.729302,1
6.4790063,-22.81803,1
0.4284939,9.111049,1
-4.673173,-46.039692,1
-4.6237383,10.655944,0
-5.742279,5.666071,1
-27.694208,14.255947,0
-26.493319,14.761917,0
29.39183,2.1738281,0
20.138018,1.7364427,0
-21.34958,-31.887335,0
40.173096,-20.555223,0
1.6488339,12.759078,1
-12.076668,-18.55289,1
22.56978,35.780296,0
-19.459028,15.757196,0
-5.0262547,10.456125,0
-17.426495,-34.288994,0
-0.7067305,-16.677534,1
17.059181,8.154664,1
-19.034458,-31.744194,0
4.9423456,24.487059,1
-11.865384,-18.287746,0
-8.723444,33.83222,0
